state_postal,lat,long
AL,32.766542541,-86.8402868589999
AK,64.8080878980001,-151.004157815
AS,-14.30068806,-170.718116122
AZ,34.293016451,-111.664753988
AR,34.8999237250001,-92.4388847
CA,36.374105693,-119.27023
CO,38.998550562,-105.547816373
CT,41.57350273,-72.738305908
DE,39.008127276,-75.4674721439999
FL,28.5660448950001,-81.6886487899999
GA,32.6483245540001,-83.4445344009999
GU,13.443563908,144.777627805
HI,21.439542579,-157.94363193
ID,44.3889953940001,-114.659446938
IL,40.11404657,-89.158650902
IN,39.919806964,-86.2817934879999
IA,42.074698104,-93.499972411
KS,38.484726713,-98.380170629
KY,37.5272325240001,-85.287620068
LA,30.1858461670001,-91.42642
ME,45.3152499220001,-69.203947061
MD,38.8181992840001,-76.1587299999999
MA,42.3586703240001,-71.7181849999999
MI,44.1251998340001,-84.1966975
MN,46.348855766,-94.200790583
MS,32.7239777990001,-89.657175808
MO,38.3679827460001,-92.477746617
MT,47.0334993330001,-109.645067732
MP,15.2140000000001,145.7595
NE,41.5272703260001,-99.811107307
NV,39.356482037,-116.655436405
NH,43.685525247,-71.577596738
NJ,39.613348353,-74.7285649999999
NM,34.4213265340001,-106.108403845
NY,40.7145400000001,-74.00712
NC,35.5393443350001,-79.185417913
ND,47.4462733400001,-100.46938737
OH,40.4130567990001,-82.7112151859999
OK,35.58268395,-97.5085993609999
OR,43.9387802410001,-120.558560912
PA,40.8965116540001,-77.838750776
PR,18.2226064980001,-66.468953431
RI,41.48871294,-71.4543194669999
SC,33.9038634090001,-80.893752347
SD,44.4361280000001,-100.230536743
TN,35.843002697,-86.3430511769999
TX,31.462733046,-99.33305009
UT,39.323725193,-111.678248391
VT,44.0752070990001,-72.662688804
VI,17.728114454,-64.8190875
VA,37.512820504,-78.697948713
WA,47.4112518430001,-120.556263187
DC,38.8903700000001,-77.03196
WV,38.6424149370001,-80.613616641
WI,44.644833367,-89.739185424
WY,42.999604339,-107.551610158
