state,state_postal,week_end_date,tot_cases,tot_deaths,week_cases,week_deaths,population,lat,long
Alabama,AL,2023-04-19,1655661,21133,1560,0,4903185,32.766542541,-86.8402868589999
Alaska,AK,2023-04-19,296922,1468,361,0,731545,64.8080878980001,-151.004157815
American Samoa,AS,2023-04-19,8329,34,3,0,55312,-14.30068806,-170.718116122
Arizona,AZ,2023-04-19,2464334,33372,3408,79,7278717,34.293016451,-111.664753988
Arkansas,AR,2023-04-19,991724,13074,0,0,3017804,34.8999237250001,-92.4388847
California,CA,2023-04-19,12218091,101555,12518,121,39512223,36.374105693,-119.27023
Colorado,CO,2023-04-19,1778036,14319,1929,14,5758736,38.998550562,-105.547816373
Connecticut,CT,2023-04-19,981026,12303,473,1,3565287,41.57350273,-72.738305908
Delaware,DE,2023-04-19,333609,3380,178,0,973764,39.008127276,-75.4674721439999
Florida,FL,2023-04-19,7542869,87141,0,0,21477737,28.5660448950001,-81.6886487899999
Georgia,GA,2023-04-19,3082346,42719,2009,33,10617423,32.6483245540001,-83.4445344009999
Guam,GU,2023-04-19,61290,415,53,0,167294,13.443563908,144.777627805
Hawaii,HI,2023-04-19,372029,1842,909,9,1415872,21.439542579,-157.94363193
Idaho,ID,2023-04-19,525039,5469,396,6,1787065,44.3889953940001,-114.659446938
Illinois,IL,2023-04-19,4127625,41866,5579,61,12671821,40.11404657,-89.158650902
Indiana,IN,2023-04-19,2068253,26356,2373,28,6732219,39.919806964,-86.2817934879999
Iowa,IA,2023-04-19,908936,10797,0,0,3155070,42.074698104,-93.499972411
Kansas,KS,2023-04-19,944383,10172,730,5,2913314,38.484726713,-98.380170629
Kentucky,KY,2023-04-19,1737217,18455,1391,51,4467673,37.5272325240001,-85.287620068
Louisiana,LA,2023-04-19,1594237,18912,1814,18,4648794,30.1858461670001,-91.42642
Maine,ME,2023-04-19,322043,2998,313,9,1344212,45.3152499220001,-69.203947061
Maryland,MD,2023-04-19,1375811,16699,1357,22,6045680,38.8181992840001,-76.1587299999999
Massachusetts,MA,2023-04-19,2238336,24601,1533,28,6892503,42.3586703240001,-71.7181849999999
Michigan,MI,2023-04-19,3097890,42668,3867,55,9986857,44.1251998340001,-84.1966975
Minnesota,MN,2023-04-19,1792067,14696,1622,37,5639632,46.348855766,-94.200790583
Mississippi,MS,2023-04-19,996607,13429,0,0,2976149,32.7239777990001,-89.657175808
Missouri,MO,2023-04-19,1785350,22860,2103,67,6137428,38.3679827460001,-92.477746617
Montana,MT,2023-04-19,333229,3708,339,3,1068778,47.0334993330001,-109.645067732
N. Mariana Islands,MP,2023-04-19,13822,43,12,0,47329,15.2140000000001,145.7595
Nebraska,NE,2023-04-19,573986,5051,634,17,1934408,41.5272703260001,-99.811107307
Nevada,NV,2023-04-19,896528,11981,827,5,3080156,39.356482037,-116.655436405
New Hampshire,NH,2023-04-19,381070,3035,357,6,1359711,43.685525247,-71.577596738
New Jersey,NJ,2023-04-19,3069918,36105,3038,10,8882190,39.613348353,-74.7285649999999
New Mexico,NM,2023-04-19,678435,9175,1208,11,2096829,34.4213265340001,-106.108403845
New York,NY,2023-04-19,3566220,32244,2642,40,19453561,40.7145400000001,-74.00712
North Carolina,NC,2023-04-19,3494292,28968,2320,23,10488084,35.5393443350001,-79.185417913
North Dakota,ND,2023-04-19,290250,2504,369,3,762062,47.4462733400001,-100.46938737
Ohio,OH,2023-04-19,3431987,42067,5165,48,11689100,40.4130567990001,-82.7112151859999
Oklahoma,OK,2023-04-19,1301908,16033,1592,42,3956971,35.58268395,-97.5085993609999
Oregon,OR,2023-04-19,972660,9531,1224,3,4217737,43.9387802410001,-120.558560912
Pennsylvania,PA,2023-04-19,3551440,50860,0,0,12801989,40.8965116540001,-77.838750776
Puerto Rico,PR,2023-04-19,1113163,5881,2144,9,3193694,18.2226064980001,-66.468953431
Rhode Island,RI,2023-04-19,440747,3905,239,1,1059361,41.48871294,-71.4543194669999
South Carolina,SC,2023-04-19,1848039,19840,1904,51,5148714,33.9038634090001,-80.893752347
South Dakota,SD,2023-04-19,282137,3221,342,7,884659,44.4361280000001,-100.230536743
Tennessee,TN,2023-04-19,2535082,29464,2572,24,6829174,35.843002697,-86.3430511769999
Texas,TX,2023-04-19,8487654,93614,10244,65,28995881,31.462733046,-99.33305009
Utah,UT,2023-04-19,1095838,5341,681,7,3205958,39.323725193,-111.678248391
Vermont,VT,2023-04-19,153948,957,140,9,623989,44.0752070990001,-72.662688804
Virgin Islands,VI,2023-04-19,24907,130,9,0,106631,17.728114454,-64.8190875
Virginia,VA,2023-04-19,2306573,23732,1838,14,8535519,37.512820504,-78.697948713
Washington,WA,2023-04-19,1952092,16070,2440,57,7614893,47.4112518430001,-120.556263187
"Washington, DC",DC,2023-04-19,178667,1434,71,0,705749,38.8903700000001,-77.03196
West Virginia,WV,2023-04-19,649528,8094,679,11,1792147,38.6424149370001,-80.613616641
Wisconsin,WI,2023-04-19,2026138,16542,2357,40,5822434,44.644833367,-89.739185424
Wyoming,WY,2023-04-19,186435,2027,154,4,578759,42.999604339,-107.551610158
