state,state_postal,week_end_date,tot_cases,tot_deaths,week_cases,week_deaths,population
Alabama,AL,2020-01-22,0,0,0,0,4903185
Alabama,AL,2020-01-29,0,0,0,0,4903185
Alabama,AL,2020-02-05,0,0,0,0,4903185
Alabama,AL,2020-02-12,0,0,0,0,4903185
Alabama,AL,2020-02-19,0,0,0,0,4903185
Alabama,AL,2020-02-26,0,0,0,0,4903185
Alabama,AL,2020-03-04,0,0,0,0,4903185
Alabama,AL,2020-03-11,3,0,3,0,4903185
Alabama,AL,2020-03-18,61,0,58,0,4903185
Alabama,AL,2020-03-25,472,1,411,1,4903185
Alabama,AL,2020-04-01,1175,26,703,25,4903185
Alabama,AL,2020-04-08,2614,65,1439,39,4903185
Alabama,AL,2020-04-15,4307,110,1693,45,4903185
Alabama,AL,2020-04-22,5692,193,1385,83,4903185
Alabama,AL,2020-04-29,6979,255,1287,62,4903185
Alabama,AL,2020-05-06,8769,341,1790,86,4903185
Alabama,AL,2020-05-13,10822,448,2053,107,4903185
Alabama,AL,2020-05-20,13186,522,2364,74,4903185
Alabama,AL,2020-05-27,16263,583,3077,61,4903185
Alabama,AL,2020-06-03,18954,650,2691,67,4903185
Alabama,AL,2020-06-10,22659,742,3705,92,4903185
Alabama,AL,2020-06-17,27941,787,5282,45,4903185
Alabama,AL,2020-06-24,32878,886,4937,99,4903185
Alabama,AL,2020-07-01,39647,974,6769,88,4903185
Alabama,AL,2020-07-08,48149,1058,8502,84,4903185
Alabama,AL,2020-07-15,60194,1210,12045,152,4903185
Alabama,AL,2020-07-22,72594,1364,12400,154,4903185
Alabama,AL,2020-07-29,84652,1539,12058,175,4903185
Alabama,AL,2020-08-05,95323,1694,10671,155,4903185
Alabama,AL,2020-08-12,104219,1879,8896,185,4903185
Alabama,AL,2020-08-19,111696,1942,7477,63,4903185
Alabama,AL,2020-08-26,119904,2043,8208,101,4903185
Alabama,AL,2020-09-02,128240,2211,8336,168,4903185
Alabama,AL,2020-09-09,134061,2281,5821,70,4903185
Alabama,AL,2020-09-16,140423,2386,6362,105,4903185
Alabama,AL,2020-09-23,146897,2465,6474,79,4903185
Alabama,AL,2020-09-30,154772,2530,7875,65,4903185
